iso3;iso2;rusCountry;engCountry;rusCity;engCity;rusIndicator;engIndicator;date;rusUnit;engUnit;value;rusSource;engSource;rusComment;engComment
SUN;SU;СССР;USSR;;;Площадь вспашки зерновых;Crop plowing area;1940;млн.га;0;150,4;https://cyberleninka.ru/article/n/vnutrennie-zernovye-postavki-v-sssr-v-1936-1940-gg-kolichestvennyy-i-kachestvennyy-aspekty;https://cyberleninka.ru/article/n/vnutrennie-zernovye-postavki-v-sssr-v-1936-1940-gg-kolichestvennyy-i-kachestvennyy-aspekty;;
SUN;SU;СССР;USSR;;;Площадь вспашки зерновых;Crop plowing area;1939;млн.га;0;133,7;https://cyberleninka.ru/article/n/vnutrennie-zernovye-postavki-v-sssr-v-1936-1940-gg-kolichestvennyy-i-kachestvennyy-aspekty;https://cyberleninka.ru/article/n/vnutrennie-zernovye-postavki-v-sssr-v-1936-1940-gg-kolichestvennyy-i-kachestvennyy-aspekty;;
SUN;SU;СССР;USSR;;;Площадь вспашки зерновых;Crop plowing area;1938;млн.га;0;136,9;https://cyberleninka.ru/article/n/vnutrennie-zernovye-postavki-v-sssr-v-1936-1940-gg-kolichestvennyy-i-kachestvennyy-aspekty;https://cyberleninka.ru/article/n/vnutrennie-zernovye-postavki-v-sssr-v-1936-1940-gg-kolichestvennyy-i-kachestvennyy-aspekty;;
SUN;SU;СССР;USSR;;;Площадь вспашки зерновых;Crop plowing area;1937;млн.га;0;135,2;https://cyberleninka.ru/article/n/vnutrennie-zernovye-postavki-v-sssr-v-1936-1940-gg-kolichestvennyy-i-kachestvennyy-aspekty;https://cyberleninka.ru/article/n/vnutrennie-zernovye-postavki-v-sssr-v-1936-1940-gg-kolichestvennyy-i-kachestvennyy-aspekty;;
SUN;SU;СССР;USSR;;;Площадь вспашки зерновых;Crop plowing area;1936;млн.га;0;133,8;https://cyberleninka.ru/article/n/vnutrennie-zernovye-postavki-v-sssr-v-1936-1940-gg-kolichestvennyy-i-kachestvennyy-aspekty;https://cyberleninka.ru/article/n/vnutrennie-zernovye-postavki-v-sssr-v-1936-1940-gg-kolichestvennyy-i-kachestvennyy-aspekty;;
SUN;SU;СССР;USSR;;;Площадь вспашки зерновых;Crop plowing area;1913;млн.га;0;105;https://cyberleninka.ru/article/n/vnutrennie-zernovye-postavki-v-sssr-v-1936-1940-gg-kolichestvennyy-i-kachestvennyy-aspekty;https://cyberleninka.ru/article/n/vnutrennie-zernovye-postavki-v-sssr-v-1936-1940-gg-kolichestvennyy-i-kachestvennyy-aspekty;;
USA;US;США;USA;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;60,2;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
SUN;SU;СССР;USSR;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;119,3;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
CHN;CN;КНР;PRC;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;112,9;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
IND;IN;Индия;India;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;124,5;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
FRA;FR;Франция;France;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;9,5;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
CAN;CA;Канада;Canada;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;13,8;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
0;0;Аргентина;Argentina;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;11,4;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
JPN;JP;Япония;Japan;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;3,6;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
DEU;DE;ФРГ;Germany;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;5,2;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
ITA;IT;Италия;Italy;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;6,5;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
POL;PL;Польша;Poland;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;8,6;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
GBR;GB;Великобритания;Great Britain;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;3,8;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
AUS;AU;Австралия;Australia;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;10,4;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
YUG;YU;Югославия;Yugoslavia;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;4,9;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
ROU;RO;Румыния;Romania;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;6,1;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
HUN;HU;Венгрия;Hungary;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;3,1;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
CSHH;CSH;Чехословакия;Czechoslovakia;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;2,7;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
BGR;BG;Болгария;Bulgaria;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;2,3;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
DDR;DD;ГДР;GDR;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;2,3;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
0;0;МИР;World;;;Площадь вспашки зерновых;Crop plowing area;1970;млн.га;0;762;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;http://gatchina3000.ru/great-soviet-encyclopedia/bse/046/763.htm;Советская энциклопедия;
RUS;RU;Россия;Russia;;;Площадь вспашки зерновых;Crop plowing area;1985;млн.га;0;68,1;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;;
RUS;RU;Россия;Russia;;;Площадь вспашки зерновых;Crop plowing area;1990;млн.га;0;63,1;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;;
RUS;RU;Россия;Russia;;;Площадь вспашки зерновых;Crop plowing area;1995;млн.га;0;54,7;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;;
RUS;RU;Россия;Russia;;;Площадь вспашки зерновых;Crop plowing area;2000;млн.га;0;45,6;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;;
RUS;RU;Россия;Russia;;;Площадь вспашки зерновых;Crop plowing area;2005;млн.га;0;43,6;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;;
RUS;RU;Россия;Russia;;;Площадь вспашки зерновых;Crop plowing area;2006;млн.га;0;43,2;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;;
RUS;RU;Россия;Russia;;;Площадь вспашки зерновых;Crop plowing area;2007;млн.га;0;44,3;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;;
RUS;RU;Россия;Russia;;;Площадь вспашки зерновых;Crop plowing area;2008;млн.га;0;46,7;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;;
RUS;RU;Россия;Russia;;;Площадь вспашки зерновых;Crop plowing area;2009;млн.га;0;47,6;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;;
RUS;RU;Россия;Russia;;;Площадь вспашки зерновых;Crop plowing area;2010;млн.га;0;44,5;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;;
RUS;RU;Россия;Russia;;;Площадь вспашки зерновых;Crop plowing area;2011;млн.га;0;44,1;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;;
RUS;RU;Россия;Russia;;;Площадь вспашки зерновых;Crop plowing area;2012;млн.га;0;39,2;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;;
RUS;RU;Россия;Russia;;;Площадь вспашки зерновых;Crop plowing area;2013;млн.га;0;45,8;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;https://studref.com/569830/agropromyshlennost/sovremennoe_sostoyanie_proizvodstva_zerna_rossii#600;;
